SID,ID,JOB_DEF,FILIAL,COMMENT
P,,Sales Manager,Back Office,Employee 1 at location 1251
PRBW,RBW,Cashier,Cashier,Employee 2 at location 1251
P,,Back Office,IT Support,Employee 3 at location 1251
P,,Sales Manager,IT Support,Employee 4 at location 1251
P,,Finance Supervisor,Back Office,Employee 5 at location 1251
POM,OM,Back Office,IT Support,Employee 6 at location 1251
PR,R,Back Office,Cashier,Employee 7 at location 1251
PQ,Q,IT Support,Back Office,Employee 8 at location 1251
P,,Front Desk,IT Support,Employee 9 at location 1251
P,,Cashier,Sales Manager,Employee 10 at location 1251
PX36,X36,Sales Manager,Cashier,Employee 11 at location 1251
PK,K,IT Support,Cashier,Employee 12 at location 1251
P,,Front Desk,Cashier,Employee 13 at location 1251
PY,Y,Finance Supervisor,Cashier,Employee 14 at location 1251
P,,Front Desk,Cashier,Employee 15 at location 1251
P,,Cashier,Finance Supervisor,Employee 16 at location 1251
PW,W,Sales Manager,Sales Manager,Employee 17 at location 1251
P,,IT Support,Finance Supervisor,Employee 18 at location 1251
P,,IT Support,Back Office,Employee 19 at location 1251
P,,Sales Manager,Front Desk,Employee 20 at location 1251
P,,Front Desk,IT Support,Employee 21 at location 1251
POCT,OCT,Finance Supervisor,Finance Supervisor,Employee 22 at location 1251
PK,K,Sales Manager,Back Office,Employee 23 at location 1251
P3,3,Front Desk,Front Desk,Employee 24 at location 1251
PE,E,Finance Supervisor,Sales Manager,Employee 25 at location 1251
PQ,Q,Sales Manager,Sales Manager,Employee 26 at location 1251
PW,W,Finance Supervisor,Finance Supervisor,Employee 27 at location 1251
PX,X,Front Desk,Finance Supervisor,Employee 28 at location 1251
P,,Sales Manager,Finance Supervisor,Employee 29 at location 1251
P,,Front Desk,Cashier,Employee 30 at location 1251
PQ,Q,Sales Manager,Front Desk,Employee 31 at location 1251
PP,P,IT Support,Sales Manager,Employee 32 at location 1251
PDN,DN,Sales Manager,Finance Supervisor,Employee 33 at location 1251
P,,IT Support,Front Desk,Employee 34 at location 1251
PI,I,Sales Manager,Front Desk,Employee 35 at location 1251
PIC,IC,Cashier,Finance Supervisor,Employee 36 at location 1251
PR,R,Sales Manager,Front Desk,Employee 37 at location 1251
PGN,GN,Sales Manager,Cashier,Employee 38 at location 1251
P,,Back Office,Front Desk,Employee 39 at location 1251
P,,Back Office,Front Desk,Employee 40 at location 1251
PI,I,IT Support,Sales Manager,Employee 41 at location 1251
P,,Front Desk,Finance Supervisor,Employee 42 at location 1251
PQ,Q,IT Support,Sales Manager,Employee 43 at location 1251
P,,Finance Supervisor,Finance Supervisor,Employee 44 at location 1251
P,,Sales Manager,Finance Supervisor,Employee 45 at location 1251
PAPMD,APMD,Finance Supervisor,Finance Supervisor,Employee 46 at location 1251
PS,S,Sales Manager,Back Office,Employee 47 at location 1251
PO,O,IT Support,Cashier,Employee 48 at location 1251
PGS,GS,Sales Manager,Finance Supervisor,Employee 49 at location 1251
PX,X,Cashier,Front Desk,Employee 50 at location 1251
